,0,label
0,@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to ,0
1,"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony ",1
2,#NOT GONNA WIN ,0
3,@user He is exactly that sort of person. Weirdo! ,0
4,So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm ,1
5,Corny jokes are my absolute favorite ,0
6,"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life ",1
7,"@user @user Darn, my sock joke needs fixing? ",0
8,"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿 ",0
9,"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself ",1
10,Most important thing I've learned in school ,0
11,#OrionLaunch underway - yeah! #Orion ,0
12,I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut ,1
13,Oh boy... @user in the house. Warm up the DJ booth @user ,0
14,"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user ",0
15,"Always classy, never trashy and just a little sassy. ",0
16,"you believe you can say something, provide no proof and its a fact, WRONG @user @user ",0
17,@user #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil ,0
18,@user Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer ,0
19,@user Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm ,1
20,Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly ,1
21,The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in. ,1
22,Pretty excited about how you gave up on me. File Under: #sarcasm ,1
23,Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ? ,1
24,@user u know that. How u doing?? ,0
25,@user hmm... let me think about that #sarcasm ,1
26,"If you wanna look like a badass, have drama on social media #not ",0
27,How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley ,1
28,"@user I think the general rule is, if it's open all night, pull an all-nighter. ",1
29,Natalie Prass - Bird of Prey: via @user ,0
30,Nooooooooooo again it's on!!! #PickANewSong #CantStandIt ,0
31,"Being a hipster now is so mainstream. Oh, the irony. #hipster #irony ",1
32,@user exactly and we are fighting like animals ,0
33,#TeenAnalCasting #Top Top 50 Christian Songs For 2012 ,0
34,The girls on #SororitySisters thought they'd get rich and famous but instead they be like... ,1
35,"Speaking of #country #music albums, anyone else think #SundownHeavenTown feels more like a #TimMcGraw album than, say, his previous three? ",0
36,#TeenAnalCasting #Sex Sex and the City 2 Movie Casting Auditions NYC Summer 2009 ,0
37,"season 6 episode 3 carries outfit, simple & chic 👌 ",0
38,Well got the truck buried today perfect way to start a rainy Wednesday work day off #not #annoyed #pissed ,0
39,"On the train and surrounded by posh people, I'm so at home! #not #stickoutlikeasorethumb ",1
40,Stupid #doctors visits is gonna bury me!! Now that's #irony ,1
41,"Love the way @user says fault from last night will be fixed by 4pm, only to see a man in a van pull up at 4pm to fix the fault #irony ",1
42,Planning a vacation instead of studying.... My priorities are in line. #NOT ,0
43,Dan said he's going to have a sign for me at the airport when I fly in lol #SoCute #3MoreWeeks ,0
44,You decide to go on vacation without me sleep? Reaaaal nice. #considerate #not 😒💤 ,1
45,@user No sugar during christmas time? :( ,0
46,Can't wait to have an afternoon schedule because of you. It's gonna be so much fun #not ,1
47,@user 180 dead on 26/11 n more than 10k our ppl killed in terror attacks till date but not 1 paki show sympathy 2 them #irony ,1
48,the ONLY time a crime becomes a federal crime @user @user @user @user @user @user ,0
49,this music is for the people and not for the money. peace and love. #KINGLIFE ,0
